feature	X158846	X39948	X906	X1578	X1301	X1263	X216851	X292632	X572511	X33042	X841	X189330	X1485	X1730	X1678	X561	X838	X239759	X816	X375288	X239934
ERR260270	-3.54859961511587	13.9828850248418	-3.54859961511587	-3.54859961511587	-3.54859961511587	14.7911053301356	14.9702508616737	15.4995531478612	-3.54859961511587	13.4596481511662	-3.54859961511587	-3.54859961511587	-3.54859961511587	14.5982914552526	14.4159693751131	-3.54859961511587	-3.54859961511587	-3.54859961511587	15.799956502874	-3.54859961511587	13.7805259103687
ERR260271	-3.56791533812994	14.2943991044534	-3.56791533812994	-3.56791533812994	-3.56791533812994	-3.56791533812994	15.2060175055076	15.6147387819797	13.9628439533177	14.9238201595019	-3.56791533812994	14.2758445120361	-3.56791533812994	14.6925931442738	14.4931375491824	-3.56791533812994	-3.56791533812994	-3.56791533812994	14.5494728005551	-3.56791533812994	-3.56791533812994
ERR260273	-3.55322058163961	14.2536231319409	-3.55322058163961	-3.55322058163961	-3.55322058163961	14.4828970916338	15.6162927326229	14.8233922910462	-3.55322058163961	-3.55322058163961	-3.55322058163961	14.018888848094	-3.55322058163961	14.5450720905661	14.4812225308392	-3.55322058163961	-3.55322058163961	-3.55322058163961	14.528629360462	-3.55322058163961	-3.55322058163961
ERR260274	-3.53511398590479	-3.53511398590479	-3.53511398590479	-3.53511398590479	-3.53511398590479	14.9505114560592	13.5152048388262	14.7386386111552	13.3752726223315	15.9060156866838	-3.53511398590479	13.3878044242208	-3.53511398590479	15.3897604450554	-3.53511398590479	-3.53511398590479	-3.53511398590479	-3.53511398590479	14.8166388951618	-3.53511398590479	-3.53511398590479
ERR260276	-3.54541687617366	-3.54541687617366	-3.54541687617366	-3.54541687617366	15.5777077051975	-3.54541687617366	-3.54541687617366	13.820414872567	14.3741146264544	-3.54541687617366	-3.54541687617366	-3.54541687617366	13.8560180859041	15.5640164110502	14.0505240083594	14.7563125361803	-3.54541687617366	-3.54541687617366	15.489751971756	-3.54541687617366	-3.54541687617366
ERR275252	-3.54873912430375	-3.54873912430375	-3.54873912430375	-3.54873912430375	-3.54873912430375	14.9217312936654	14.6357052426374	14.0625235320893	13.9721982469397	14.0114899830852	15.1996253574427	13.9123101248603	-3.54873912430375	15.5720942099261	-3.54873912430375	-3.54873912430375	-3.54873912430375	-3.54873912430375	15.0156696085926	-3.54873912430375	-3.54873912430375
SRR1778452	15.9164577132761	15.6641708178924	-3.52746501591383	-3.52746501591383	-3.52746501591383	13.8543759617827	-3.52746501591383	13.5823516444412	14.7592739769428	-3.52746501591383	-3.52746501591383	-3.52746501591383	14.3600984990391	14.0641182545293	-3.52746501591383	14.6446056525541	-3.52746501591383	-3.52746501591383	-3.52746501591383	-3.52746501591383	-3.52746501591383
SRR1778453	-3.50405077376447	-3.50405077376447	-3.50405077376447	15.2698188518662	13.4298919193198	-3.50405077376447	13.3076170174456	-3.50405077376447	14.5637151054259	-3.50405077376447	-3.50405077376447	-3.50405077376447	12.9320185658377	-3.50405077376447	16.241333464233	-3.50405077376447	-3.50405077376447	-3.50405077376447	15.4629578695871	15.0265510795111	-3.50405077376447
SRR341581	14.1464534204128	-3.4206719490174	-3.4206719490174	-3.4206719490174	-3.4206719490174	-3.4206719490174	-3.4206719490174	13.4457880160527	14.0777452864901	-3.4206719490174	-3.4206719490174	-3.4206719490174	13.5983490282736	-3.4206719490174	-3.4206719490174	13.3201055524787	-3.4206719490174	-3.4206719490174	16.7519492404577	14.6414134510652	-3.4206719490174
SRR341582	-3.54065954778806	-3.54065954778806	-3.54065954778806	-3.54065954778806	-3.54065954778806	14.3007793381955	14.9581482331889	14.0936001830369	13.540442506083	-3.54065954778806	-3.54065954778806	-3.54065954778806	-3.54065954778806	15.82911594818	-3.54065954778806	14.1878075996791	-3.54065954778806	-3.54065954778806	15.9093369994023	14.1169085498723	-3.54065954778806
SRR341583	-3.50847010947452	14.5248540871923	-3.50847010947452	-3.50847010947452	-3.50847010947452	14.163491566761	14.7962586826138	-3.50847010947452	-3.50847010947452	-3.50847010947452	-3.50847010947452	-3.50847010947452	-3.50847010947452	14.5524208587692	-3.50847010947452	-3.50847010947452	16.3034228854294	13.8505935362465	14.91264055205	-3.50847010947452	13.3890697230943
SRR341584	-3.48571164335655	-3.48571164335655	-3.48571164335655	-3.48571164335655	-3.48571164335655	-3.48571164335655	13.8584714996452	-3.48571164335655	-3.48571164335655	-3.48571164335655	13.7459965938238	-3.48571164335655	-3.48571164335655	14.582404284213	-3.48571164335655	-3.48571164335655	16.2976544518783	13.1492414632387	16.0181259028442	13.9826081136596	-3.48571164335655
SRR341585	14.6683814631141	-3.54110778084492	-3.54110778084492	-3.54110778084492	-3.54110778084492	14.741760430897	14.6077891870073	14.5485991961577	14.22854040047	13.6212425601706	-3.54110778084492	-3.54110778084492	-3.54110778084492	15.4663035205243	-3.54110778084492	-3.54110778084492	-3.54110778084492	-3.54110778084492	16.0582833456076	-3.54110778084492	-3.54110778084492
SRR341586	-3.54160223083521	-3.54160223083521	-3.54160223083521	13.5755321570518	-3.54160223083521	-3.54160223083521	-3.54160223083521	15.1431413418995	14.0071993495278	-3.54160223083521	-3.54160223083521	-3.54160223083521	-3.54160223083521	13.7424185342353	-3.54160223083521	14.4261113516185	-3.54160223083521	15.2464263060379	15.7064331121197	15.1050500698518	-3.54160223083521
SRR341587	-3.44340722472313	-3.44340722472313	12.9610321785359	-3.44340722472313	-3.44340722472313	-3.44340722472313	-3.44340722472313	-3.44340722472313	13.0938855504869	-3.44340722472313	-3.44340722472313	-3.44340722472313	14.8233213313678	15.0800827922334	-3.44340722472313	13.6997833734211	-3.44340722472313	-3.44340722472313	16.7474722182332	14.9014718166004	-3.44340722472313
SRR341588	-3.43292070874141	-3.43292070874141	-3.43292070874141	-3.43292070874141	-3.43292070874141	-3.43292070874141	-3.43292070874141	-3.43292070874141	13.9245747631051	-3.43292070874141	-3.43292070874141	-3.43292070874141	15.3703863182358	-3.43292070874141	-3.43292070874141	14.8919504417204	-3.43292070874141	-3.43292070874141	16.5336125742512	12.3907503231331	-3.43292070874141
SRR341589	-3.55397009412933	14.7958073939991	-3.55397009412933	-3.55397009412933	-3.55397009412933	-3.55397009412933	14.5666617693208	14.9101915160091	-3.55397009412933	-3.55397009412933	13.9082741570114	-3.55397009412933	14.1246652202527	-3.55397009412933	-3.55397009412933	-3.55397009412933	15.2335943140018	-3.55397009412933	15.2163881758366	14.0822987176687	-3.55397009412933
SRR341599	-3.50657403240495	-3.50657403240495	-3.50657403240495	-3.50657403240495	-3.50657403240495	-3.50657403240495	14.2883452637185	14.2277087238593	13.0347219241791	-3.50657403240495	-3.50657403240495	-3.50657403240495	-3.50657403240495	15.23128691207	-3.50657403240495	-3.50657403240495	-3.50657403240495	15.9117635863528	15.3409418519175	15.203285171353	13.158717801486
SRR341600	-3.23312602807014	-3.23312602807014	11.7694657716604	-3.23312602807014	-3.23312602807014	-3.23312602807014	-3.23312602807014	-3.23312602807014	13.040878841294	-3.23312602807014	-3.23312602807014	-3.23312602807014	13.5947084477183	-3.23312602807014	11.381422535473	14.1024073962664	-3.23312602807014	-3.23312602807014	17.3005059836925	15.0308974087547	-3.23312602807014
