feature	X218538	X33039	X360807	X751585	X39491	X88431	X39488	X457412	X40518	X853	X39485	X1680	X216816	X562	X165179	X47678	X817	X818	X820	X821	X357276	X46506	X28116	X204516	X28117	X239935
SRR341581	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127	0.0148761859427486	-0.0035914329791127	-0.0035914329791127	0.104412386072114	0.112707835772723	0.0554104140266962	0.0589559509097184	-0.0035914329791127	-0.0035914329791127	0.187436281665736	-0.0035914329791127	-0.0035914329791127	-0.0035914329791127
SRR341582	-0.00390637051683943	-0.00390637051683943	-0.00390637051683943	-0.00390637051683943	0.209276537891033	-0.00390637051683943	-0.00390637051683943	-0.00390637051683943	0.050612401420666	0.0987639297543565	-0.00390637051683943	-0.00390637051683943	-0.00390637051683943	0.0449282688540323	-0.00390637051683943	-0.00390637051683943	0.0312379685785388	-0.00390637051683943	0.0365849773458339	-0.00390637051683943	0.0232555809890237	-0.00390637051683943	0.126453247343984	-0.00390637051683943	-0.00390637051683943	-0.00390637051683943
SRR341583	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	0.0544944985112474	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	0.0814627192325484	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	0.319245548451808	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	-0.00384469016186068	0.0230318773253615	0.0177236322787246
SRR341584	-0.00416109377665253	-0.00416109377665253	0.0233505659540996	-0.00416109377665253	-0.00416109377665253	-0.00416109377665253	-0.00416109377665253	-0.00416109377665253	-0.00416109377665253	0.0293497915988861	0.0359564286614043	-0.00416109377665253	-0.00416109377665253	-0.00416109377665253	0.325462026821248	0.0391063242567213	-0.00416109377665253	-0.00416109377665253	-0.00416109377665253	0.0267122809289707	-0.00416109377665253	0.100081797571728	-0.00416109377665253	0.0391927010307308	-0.00416109377665253	-0.00416109377665253
SRR341585	-0.00350507389851829	0.0453397554434126	-0.00350507389851829	-0.00350507389851829	0.0778549810765301	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	0.0699330096442075	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	0.028049211769148	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829	-0.00350507389851829
SRR341586	-0.00317858214982677	0.0319677844222046	-0.00317858214982677	-0.00317858214982677	0.0217355668751463	-0.00317858214982677	-0.00317858214982677	-0.00317858214982677	-0.00317858214982677	0.021177681198553	-0.00317858214982677	-0.00317858214982677	-0.00317858214982677	0.0584562586353184	-0.00317858214982677	-0.00317858214982677	-0.00317858214982677	-0.00317858214982677	0.0676226931887557	-0.00317858214982677	0.0738407906183122	-0.00317858214982677	-0.00317858214982677	-0.00317858214982677	0.112401139102204	-0.00317858214982677
SRR341587	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043	0.100625994015601	-0.00447968917519043	-0.00447968917519043	0.0230125130994833	-0.00447968917519043	-0.00447968917519043	0.112364238991092	0.210851827500137	-0.00447968917519043	0.0555665065616003	0.0549048228463788	-0.00447968917519043	0.0501047982898572	-0.00447968917519043	-0.00447968917519043	-0.00447968917519043
SRR341588	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357	0.0820730915722022	-0.00489667621844357	0.0719245403278676	0.0439517719667279	-0.00489667621844357	-0.00489667621844357	0.12532336492829	-0.00489667621844357	-0.00489667621844357	0.128098947907766	-0.00489667621844357	-0.00489667621844357	-0.00489667621844357
SRR341589	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	0.0681353010609253	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	0.111659626461214	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	0.0574053469603838	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193	-0.00332750429315193
SRR341599	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	0.0642105451254232	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	0.0490794463810293	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	0.0256938971944837	0.0179583595847519	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	-0.00302464921836408	0.0398509152829476	0.200398527416827	-0.00302464921836408
